,Bastiglia,Bomporto,Campogalliano,Camposanto,Carpi,Castelfranco E.,Castelnuovo R.,Castelvetro,Cavezzo,Concordia,Fanano,Finale Emilia,Fiorano M.,Fiumalbo,Formigine,Frassinoro,Guiglia,Lama Mocogno,Maranello,Marano,Medolla,Mirandola,Modena,Montecreto,Montefiorino,Montese,Nonantola,Novi,Palagano,Pavullo,Pievepelago,Prignano,Polinago,Ravarino,Riolunato,San Cesario S/P,San Felice S/P,San Possidonio,San Prospero,Sassuolo,Savignano S/P,Serramazzoni,Sestola,Soliera,Spilamberto,Vignola,Zocca,Fuori provincia,TOTALE
2020-12-28,0,1,2,0,7,2,0,1,1,0,1,3,0,0,8,0,0,0,1,0,1,2,9,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,3,0,0,0,13,60
2020-12-29,0,0,0,1,4,2,3,2,2,0,0,0,4,0,2,1,1,1,2,1,0,5,41,0,1,1,0,1,1,0,0,0,0,0,0,0,2,0,1,5,0,2,0,0,2,5,0,9,102
2020-12-30,1,1,2,0,8,3,4,5,1,0,0,1,2,0,12,1,0,0,4,3,1,3,86,0,2,1,1,0,0,1,0,2,1,1,0,2,3,2,0,19,1,1,0,3,2,4,2,4,190
2020-12-31,4,4,0,6,24,17,6,12,25,3,0,8,12,0,30,2,0,1,16,0,3,9,69,3,0,0,4,0,1,4,0,3,1,4,0,1,7,5,2,28,5,1,2,5,9,12,0,14,362
2021-01-01,2,1,4,4,32,45,15,6,8,10,2,8,9,0,27,0,8,0,8,5,12,21,114,4,1,0,9,3,0,5,1,0,6,7,0,3,15,2,2,41,3,1,1,12,5,27,0,23,512
2021-01-02,0,6,1,1,35,14,8,7,4,5,0,3,7,1,24,2,1,1,6,3,4,19,98,1,0,1,4,1,0,5,0,3,2,2,0,1,6,1,1,16,3,1,0,7,3,9,3,11,331
2021-01-03,1,6,3,0,23,14,8,5,3,7,1,6,4,0,11,0,0,0,2,5,2,6,94,1,0,1,4,4,0,8,0,3,0,1,1,2,11,5,0,11,2,0,0,6,6,10,0,18,295
2021-01-04,0,1,1,2,11,7,4,6,1,4,0,5,4,0,17,1,1,0,5,3,3,9,46,0,0,0,6,3,0,4,0,0,0,1,0,1,8,1,3,8,2,1,1,2,1,10,2,4,189
2021-01-05,2,1,2,0,17,5,4,3,2,2,2,5,3,0,12,2,1,0,6,1,0,6,55,0,1,1,4,1,2,3,0,1,0,1,0,0,1,0,3,15,2,2,0,5,2,10,0,7,192
2021-01-07,1,5,8,0,53,23,17,3,4,9,0,5,5,0,26,8,0,1,10,5,2,16,77,1,2,0,6,4,3,14,0,3,0,2,0,3,9,6,1,27,6,4,0,1,8,24,0,18,420
2021-01-08,1,4,13,2,51,24,8,4,7,6,2,19,1,4,3,1,1,0,1,1,2,16,111,2,1,0,4,2,0,8,1,0,0,3,0,0,8,2,1,9,5,5,0,9,7,17,5,4,375
2021-01-09,0,4,0,1,8,7,1,1,0,0,1,1,11,0,18,4,0,0,16,2,0,1,57,0,0,0,4,1,0,4,0,2,0,0,0,1,0,0,1,30,0,0,0,1,1,2,0,8,188
2021-01-10,1,4,0,3,44,21,21,5,14,2,1,9,3,1,8,1,2,0,6,3,3,11,110,0,0,0,11,8,0,3,0,2,0,12,0,1,4,3,3,8,3,2,1,2,6,31,3,17,393
2021-01-11,1,2,7,1,51,32,2,6,4,2,0,13,12,0,21,8,1,1,11,0,7,6,147,0,4,1,9,7,6,7,1,1,1,2,0,1,4,6,5,32,4,3,2,3,3,12,4,16,469
2021-01-12,0,5,6,1,37,23,3,2,3,3,0,7,0,0,3,0,0,0,3,0,2,15,25,0,0,2,5,6,1,1,1,0,0,10,0,1,1,0,5,2,3,6,0,4,7,6,2,2,203
2021-01-13,1,2,0,0,6,4,2,0,1,1,0,1,1,0,7,0,0,0,6,0,0,2,14,1,3,0,0,0,1,2,1,0,1,0,0,3,0,0,0,10,1,0,0,1,1,3,0,3,0
2021-01-14,0,1,4,1,26,13,3,0,3,1,2,9,2,0,21,0,2,1,8,3,2,9,112,0,2,1,7,8,0,11,0,1,0,6,0,2,1,1,6,12,2,0,0,4,5,17,0,2,311
2021-01-15,3,9,1,2,34,22,7,3,10,4,1,7,6,3,28,2,2,1,9,0,5,6,116,1,4,5,15,11,1,4,8,3,0,5,1,5,9,5,2,11,2,1,1,11,6,18,1,10,421
2021-01-16,0,4,2,3,38,21,5,1,5,3,0,1,7,3,15,0,0,0,9,1,1,5,69,1,0,2,12,6,1,1,9,0,0,7,0,4,7,1,3,18,2,1,0,7,2,6,3,10,296
2021-01-17,1,0,2,4,25,19,5,2,6,2,3,2,3,11,6,2,2,0,9,1,2,7,55,1,0,0,5,1,2,2,4,0,0,2,0,2,4,1,0,16,6,3,0,6,3,9,1,3,240
2021-01-18,1,3,4,2,33,21,1,5,0,3,0,4,3,10,5,1,2,0,6,2,1,10,67,1,3,4,5,3,0,5,0,0,0,2,0,1,2,5,1,15,1,2,0,4,0,13,0,9,260
2021-01-19,2,0,2,0,15,10,1,3,1,3,0,4,3,1,3,1,0,1,5,0,0,11,29,2,0,1,5,3,0,7,5,0,0,4,2,0,5,0,0,1,3,1,0,5,3,4,0,4,150
2021-01-20,0,1,0,1,11,8,1,1,1,1,0,5,1,1,6,1,0,0,6,1,1,9,10,0,0,0,1,0,0,1,1,0,0,0,0,0,1,2,1,11,1,0,0,2,0,3,0,7,97
2021-01-21,0,1,3,1,11,21,3,4,0,1,1,2,3,2,12,5,0,0,6,1,1,2,50,1,0,2,8,6,1,4,9,2,0,0,1,5,2,2,0,12,2,1,0,6,5,9,2,6,216
2021-01-22,0,5,3,0,20,14,0,7,0,0,0,1,4,10,14,2,4,2,5,2,2,10,65,2,1,3,6,2,0,9,6,0,0,1,1,1,4,0,10,17,8,1,0,5,11,8,1,8,275
2021-01-23,2,2,1,2,17,10,2,11,0,1,0,3,3,5,5,0,0,0,4,2,1,3,34,4,0,0,6,1,0,8,4,1,0,4,1,2,3,2,0,9,1,0,0,1,6,24,1,6,192
2021-01-24,0,2,2,1,14,18,2,3,4,4,1,4,6,1,4,0,4,1,0,3,0,0,47,1,0,0,0,3,0,4,3,0,1,1,0,1,2,0,1,3,3,2,0,1,13,4,1,4,175
2021-01-25,1,4,2,0,12,13,3,3,1,4,0,4,2,0,6,0,1,1,5,1,5,7,51,1,0,0,10,2,2,6,2,0,0,1,1,4,0,3,2,9,0,1,2,6,3,8,3,8,200
2021-01-26,0,1,0,0,10,12,2,4,0,1,1,3,0,2,2,1,0,0,2,0,0,3,41,2,0,0,6,1,0,2,0,0,0,0,1,1,2,2,1,3,2,1,2,3,2,2,2,1,121
2021-01-27,0,0,0,0,3,2,2,1,0,0,0,1,2,0,2,0,0,0,4,3,0,0,19,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,4,1,0,0,2,0,1,1,3,55
2021-01-28,0,3,0,2,16,17,3,7,2,0,1,3,5,1,8,0,0,0,4,1,2,2,38,1,0,0,0,1,2,6,1,0,3,0,0,0,2,1,1,7,0,2,2,6,5,6,0,8,169
2021-01-29,2,3,1,1,27,28,3,6,1,0,2,6,3,1,1,0,0,0,2,1,7,9,64,1,0,1,8,0,0,1,0,0,1,3,0,5,4,1,0,2,9,2,2,4,7,11,1,2,233
2021-01-30,0,1,1,1,17,14,0,10,3,1,4,2,1,0,4,0,1,0,6,2,4,4,47,0,0,0,3,1,1,5,0,1,0,1,0,2,4,0,2,12,5,2,0,8,4,5,2,5,186
2021-01-31,1,3,1,0,16,17,2,2,2,1,0,7,4,0,9,0,0,0,3,0,9,1,95,3,0,0,3,5,0,4,0,0,0,1,0,3,1,3,0,13,0,5,0,4,1,4,0,8,231
2021-02-01,0,0,1,1,17,9,1,8,1,4,1,2,1,0,2,0,1,0,5,4,8,7,48,1,0,0,14,1,0,1,0,0,0,2,0,2,2,0,1,4,2,2,3,4,6,6,0,4,176
2021-02-02,1,8,1,1,27,6,4,7,0,0,0,3,0,0,0,0,9,0,1,1,1,4,46,0,0,0,6,2,0,5,0,0,0,1,0,2,1,0,0,2,1,2,4,4,1,11,0,4,166
2021-02-03,0,0,0,0,3,5,1,5,0,0,0,2,2,0,3,0,1,0,3,3,0,1,16,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,1,7,2,0,0,1,2,5,0,6,75
2021-02-04,1,4,0,1,3,19,0,4,1,1,1,6,4,0,11,0,0,0,6,3,4,3,58,1,0,0,12,3,0,1,2,2,0,1,0,1,1,0,0,12,0,8,1,0,6,14,0,7,202
2021-02-05,1,9,2,3,28,11,2,7,3,3,2,2,1,0,5,0,6,0,3,10,2,12,78,0,0,0,14,4,1,5,0,0,0,0,0,6,1,0,1,4,6,1,0,1,4,19,1,3,261
2021-02-06,1,9,2,3,28,11,2,7,3,3,2,2,1,0,5,0,6,0,3,10,2,12,78,0,0,0,14,4,1,5,0,0,0,0,0,6,1,0,1,4,6,1,0,1,4,19,1,3,261
2021-02-07,0,4,2,2,19,7,6,4,2,0,2,2,2,0,2,0,4,0,4,25,2,9,77,3,0,0,6,0,0,5,0,0,0,3,0,0,5,1,0,14,5,1,1,2,2,18,4,4,249
2021-02-08,2,4,1,3,14,10,2,8,1,0,0,5,2,0,7,1,4,0,6,2,1,6,117,0,0,0,10,0,0,5,0,0,0,1,0,2,1,0,0,19,4,1,0,2,2,16,2,4,265
2021-02-09,0,3,0,2,28,14,0,0,1,1,0,9,0,0,2,0,0,0,3,0,2,3,31,0,0,0,12,2,0,2,0,0,2,1,0,4,3,0,0,5,0,0,0,5,6,3,0,7,151
2021-02-10,0,0,0,0,7,3,0,0,1,0,0,1,6,0,1,0,2,0,6,1,0,0,14,0,0,1,1,0,0,1,0,0,0,0,0,0,2,0,1,8,0,0,0,1,1,5,0,2,65
2021-02-11,0,1,3,0,13,11,3,6,2,0,0,2,4,1,8,0,0,0,5,2,1,13,85,2,1,0,2,3,0,3,0,2,1,1,0,1,1,0,0,6,0,2,0,1,5,23,0,6,220
2021-02-12,0,7,7,2,10,17,5,10,3,4,0,7,4,0,18,0,1,0,9,4,2,14,72,1,1,1,8,1,0,6,0,0,0,5,0,3,6,1,2,12,3,4,0,4,5,19,0,4,282
2021-02-13,0,3,0,2,11,17,3,2,0,0,0,3,4,1,8,0,3,0,9,2,2,2,92,0,1,0,16,2,2,1,0,1,1,2,1,3,2,0,3,9,5,0,0,5,5,3,0,10,236
2021-02-14,0,1,3,0,20,7,1,5,1,0,2,4,4,0,3,0,3,0,1,11,1,7,69,2,0,0,15,2,0,2,0,0,0,9,0,0,0,0,0,7,9,4,0,12,5,12,0,7,229
2021-02-15,2,4,6,0,19,24,6,7,1,1,0,6,11,0,12,0,7,0,6,10,3,9,63,0,1,0,21,2,0,1,0,2,0,3,0,3,3,1,1,5,11,6,0,5,8,16,0,5,291
2021-02-16,1,1,0,0,13,24,3,1,0,3,0,9,2,0,8,0,3,1,10,0,5,8,41,0,0,0,12,1,0,0,0,0,0,9,0,4,2,0,4,4,2,2,0,9,0,4,1,7,194
2021-02-17,0,0,0,0,2,2,1,0,0,1,0,0,2,0,6,0,2,0,0,1,0,3,21,0,0,0,3,1,0,0,0,1,0,2,0,1,0,0,1,5,0,0,0,3,0,1,0,3,62
2021-02-18,0,1,3,1,25,17,8,1,0,0,1,2,5,1,11,0,6,0,6,1,2,1,55,1,1,0,11,2,0,0,0,3,0,2,0,1,1,1,0,23,7,1,0,4,5,16,2,5,233
2021-02-19,2,2,3,0,27,29,7,4,1,1,0,14,9,1,17,0,7,0,6,7,2,6,58,0,0,0,20,0,0,5,4,1,0,7,0,2,3,1,2,17,10,2,0,14,10,19,1,5,326
2021-02-20,2,1,0,0,20,21,10,10,0,1,1,5,6,0,10,0,1,0,3,4,1,4,66,0,0,0,11,1,1,0,0,0,0,5,0,2,1,0,0,11,19,0,0,6,5,24,0,9,261
2021-02-21,4,5,4,4,26,22,4,1,1,1,5,3,12,0,19,0,1,0,7,3,0,3,93,1,2,0,8,1,0,1,2,0,0,1,0,1,4,0,1,14,3,3,0,7,8,11,1,8,295
2021-02-22,1,4,1,0,23,15,10,8,1,4,0,2,10,0,5,0,4,3,12,5,1,9,71,0,1,0,23,6,0,2,0,4,0,4,0,1,3,1,5,15,15,5,0,7,16,21,1,12,331
2021-02-23,1,6,5,4,31,20,8,4,0,0,0,10,14,0,26,1,2,1,8,5,0,9,43,2,1,0,23,3,2,1,1,1,1,4,0,5,2,0,1,25,6,3,1,9,9,15,5,9,327
2021-02-24,0,1,1,0,6,4,3,4,1,0,0,0,5,0,11,0,1,0,8,1,0,2,12,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,18,4,0,1,0,4,3,0,2,94
2021-02-25,1,8,7,0,23,18,14,11,1,0,0,0,13,1,19,0,1,1,14,6,1,9,95,1,0,0,14,1,1,3,0,4,0,2,0,2,5,0,4,25,14,1,0,13,11,25,0,10,379
2021-02-26,3,11,3,0,51,32,17,8,5,1,1,14,11,0,21,0,11,3,12,8,1,8,124,0,0,2,25,4,0,5,0,2,0,5,0,7,5,0,5,38,9,2,0,9,11,27,1,13,515
2021-02-27,0,4,4,1,21,31,16,14,0,1,0,5,21,0,40,0,3,5,17,5,2,4,112,0,0,1,12,6,2,4,1,2,1,6,0,7,3,0,5,69,18,2,0,5,9,25,1,12,497
2021-02-28,2,11,5,1,29,22,10,12,4,2,0,1,15,0,31,0,4,0,7,4,2,2,110,0,0,1,19,4,0,4,0,3,1,1,0,3,2,1,1,26,6,6,1,4,11,23,1,10,402
2021-03-01,5,7,9,2,45,28,34,9,1,2,3,4,9,3,15,0,6,5,7,16,0,5,119,0,0,4,11,10,1,9,0,1,3,2,0,6,7,1,6,23,24,4,0,7,20,40,4,16,533
2021-03-02,1,8,0,6,16,24,6,5,2,0,1,7,7,0,28,0,3,0,11,1,4,8,51,0,0,1,15,1,1,6,0,3,0,6,0,6,9,0,1,25,5,10,0,5,11,9,0,7,310
2021-03-03,0,1,0,0,6,10,1,5,1,0,0,1,18,0,27,2,0,2,16,0,0,3,40,0,0,0,4,0,2,0,0,4,0,0,0,2,1,0,0,47,1,3,0,1,4,8,1,13,224
2021-03-04,1,7,10,0,32,19,12,5,2,0,0,5,10,1,34,1,1,1,7,5,0,4,115,0,0,23,11,4,2,8,1,3,0,3,1,1,7,2,3,32,14,3,1,6,13,18,0,14,442
2021-03-05,1,19,9,1,53,50,23,23,2,3,0,13,21,2,36,4,3,5,18,17,6,5,147,0,0,6,20,14,6,7,0,2,0,7,0,8,5,0,8,26,20,6,1,11,34,45,2,12,701
2021-03-06,5,0,11,2,34,29,24,17,0,1,1,8,26,0,38,1,4,2,24,7,1,5,142,0,0,9,14,2,0,10,0,3,1,1,3,5,1,0,4,67,21,3,0,4,22,34,4,20,610
2021-03-07,1,4,8,2,22,24,13,2,2,3,0,12,24,0,33,0,0,5,42,1,4,11,102,0,2,0,12,5,1,7,0,2,0,2,0,3,7,2,4,46,4,3,1,6,6,10,2,20,460
2021-03-08,2,6,5,0,42,32,17,6,2,1,0,10,22,0,45,2,1,0,38,7,3,7,116,0,3,5,16,5,2,13,0,1,0,1,0,5,5,0,2,34,7,2,0,4,20,25,0,16,530
2021-03-09,0,4,10,2,32,29,24,7,1,0,2,8,8,0,14,0,2,1,11,9,5,7,88,0,0,19,8,6,0,14,0,1,5,1,1,4,3,2,1,8,9,2,1,5,23,23,3,11,414
2021-03-10,0,0,2,0,2,2,2,3,0,0,0,1,1,0,6,0,0,2,8,0,0,1,35,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,17,0,1,0,2,2,4,0,10,104
2021-03-11,1,11,5,0,27,21,13,15,3,0,0,12,2,0,21,0,0,1,5,4,1,3,140,0,1,3,6,3,0,8,1,1,0,1,3,6,3,1,1,14,5,2,0,9,12,11,1,12,389
2021-03-12,5,2,11,0,55,25,17,15,1,1,1,2,12,2,16,0,4,0,21,11,1,2,145,0,1,9,8,7,2,5,1,3,0,3,0,4,2,0,0,26,9,5,0,14,20,36,4,6,514
2021-03-13,6,5,2,1,10,28,13,9,2,3,0,30,14,2,24,0,1,0,21,2,9,14,118,0,0,15,15,2,6,6,0,0,1,3,2,9,7,2,3,44,2,5,1,1,15,31,5,20,509
2021-03-14,1,1,9,0,51,3,2,4,4,1,0,10,15,1,37,6,0,3,22,3,3,8,113,0,1,2,3,9,1,13,0,2,0,1,0,0,2,2,3,55,7,9,2,15,6,8,1,11,450
2021-03-15,1,9,6,1,53,32,18,15,1,2,0,8,14,0,25,2,6,2,28,12,2,8,125,0,0,15,7,7,0,4,0,2,0,2,3,4,3,0,2,55,14,1,0,7,23,43,4,9,575
2021-03-16,2,9,3,3,33,26,13,8,0,2,1,4,9,1,10,0,2,1,11,1,4,4,117,0,1,8,10,2,0,21,1,0,0,3,0,6,2,3,3,22,11,4,1,10,12,19,1,15,419
2021-03-17,0,1,0,5,18,9,4,4,2,1,0,13,9,0,16,1,0,1,15,3,1,16,23,0,1,3,1,2,0,1,0,1,0,0,0,1,1,1,4,24,2,1,0,7,1,10,0,7,210
2021-03-18,7,2,2,4,32,20,6,7,3,0,2,8,7,0,10,0,0,2,13,5,4,5,112,0,1,5,10,1,0,5,0,1,0,2,0,1,2,0,5,24,7,3,1,5,4,28,1,16,373
2021-03-19,1,12,4,2,49,37,3,6,2,3,1,29,7,0,22,1,0,2,13,3,6,23,133,0,1,9,5,9,1,11,1,8,0,3,2,4,7,1,12,30,3,12,2,14,8,20,0,11,533
2021-03-20,0,4,4,1,25,19,12,10,1,2,1,11,9,0,20,3,2,1,24,3,4,7,117,0,0,6,6,1,0,8,4,2,0,2,0,8,3,0,6,26,8,2,1,7,24,28,6,12,440
2021-03-21,4,6,2,4,31,27,5,11,0,3,3,9,7,2,11,0,2,2,10,5,4,4,85,0,0,7,2,1,2,13,0,3,0,0,0,1,4,0,0,19,11,7,2,5,10,31,6,7,368
2021-03-22,0,3,2,0,22,18,7,4,2,2,0,16,2,0,13,0,1,1,5,1,2,7,96,0,0,3,7,0,1,8,6,2,0,0,0,7,4,0,1,15,6,6,0,11,6,13,0,10,310
2021-03-23,0,1,0,0,39,14,7,1,1,1,1,8,7,0,17,0,0,0,9,0,5,4,87,0,0,5,6,4,1,3,5,4,1,5,1,3,2,1,0,18,1,4,0,1,2,9,2,16,296
2021-03-24,0,1,0,0,2,5,5,7,2,0,0,1,6,0,7,1,2,0,8,1,1,1,19,0,0,2,1,0,0,2,0,1,0,0,0,0,0,1,0,16,14,2,0,3,18,27,8,1,165
2021-03-25,0,2,3,0,29,7,4,5,1,2,2,11,11,0,4,0,2,0,13,1,3,2,125,0,1,2,4,0,0,3,1,1,0,2,2,6,3,2,0,11,4,2,1,3,13,10,0,11,309
2021-03-26,4,5,0,0,35,10,8,9,4,1,0,22,10,3,12,0,4,3,20,1,7,3,84,0,2,5,7,0,3,14,3,4,1,2,1,2,6,2,0,48,7,9,1,10,7,19,3,10,411
2021-03-27,1,6,5,1,23,11,13,6,4,2,1,12,5,0,28,1,0,0,10,4,7,9,123,0,1,3,3,7,0,12,1,1,0,2,0,1,13,1,0,23,12,3,5,9,12,15,1,8,405
2021-03-28,1,10,1,1,29,17,8,4,0,2,0,13,2,1,9,0,1,3,8,1,3,8,41,1,0,3,8,1,0,13,9,3,0,1,0,5,3,0,1,10,7,4,1,2,8,10,6,7,266
2021-03-29,1,2,4,1,20,8,10,4,3,1,1,6,10,0,7,1,2,1,9,1,4,6,92,0,2,2,3,1,0,11,5,0,0,0,0,2,5,4,1,37,4,0,3,4,6,16,3,9,312
2021-03-30,0,2,2,0,29,16,9,11,0,3,2,7,1,0,6,0,3,0,1,4,2,10,57,0,0,4,4,1,1,5,0,2,1,1,0,4,3,2,1,5,12,1,0,6,11,11,4,5,249
2021-03-31,0,1,0,0,6,1,1,5,0,1,0,4,9,0,10,0,0,0,4,0,0,2,27,0,0,0,0,0,0,2,0,4,0,0,0,2,0,0,1,6,6,0,0,6,1,3,0,6,108
2021-04-01,4,4,1,0,14,6,2,7,0,5,2,6,10,0,7,2,5,2,2,2,0,4,86,0,0,3,1,3,1,4,1,4,0,0,0,2,2,2,0,17,9,1,1,6,3,11,1,11,254
2021-04-02,3,5,3,2,33,20,12,7,1,3,3,16,2,0,9,0,3,2,6,3,4,3,102,0,0,10,5,2,0,7,3,1,0,2,1,0,4,0,1,14,9,5,1,12,4,12,3,5,343
2021-04-03,0,3,6,1,36,14,8,6,1,0,3,6,6,0,8,1,3,0,8,0,3,4,59,1,0,1,8,2,0,13,0,3,0,0,0,5,4,1,1,25,4,0,1,9,3,11,2,4,274
2021-04-04,0,1,5,1,29,9,6,7,2,0,1,1,5,0,7,4,2,2,5,2,2,8,97,0,0,0,7,6,0,8,2,5,0,1,0,1,2,0,1,22,6,8,1,11,9,8,0,8,302
2021-04-05,1,3,1,3,33,3,5,4,0,2,0,7,5,0,8,0,1,2,12,0,5,11,98,0,3,5,9,5,0,3,2,6,1,1,0,0,0,2,1,12,6,2,1,13,0,6,0,6,288
2021-04-06,0,2,1,2,22,4,19,2,1,2,0,5,1,0,4,0,5,2,6,2,0,4,39,0,0,1,1,1,0,9,0,0,1,0,0,0,2,0,0,12,3,0,2,6,5,6,0,7,179
2021-04-07,0,1,1,0,4,2,5,0,0,0,0,0,6,0,1,0,1,0,4,0,0,1,20,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,4,0,0,0,0,1,3,0,3,60
2021-04-08,0,0,1,0,4,1,6,4,0,1,0,0,3,0,2,0,0,0,1,0,0,1,17,0,0,1,2,2,1,2,1,0,0,1,0,0,0,1,0,1,2,3,0,0,5,8,3,6,80
2021-04-09,1,1,0,2,24,8,3,0,1,0,0,8,6,3,16,0,1,1,14,0,1,6,94,1,0,0,5,8,0,8,0,5,0,1,0,1,1,1,1,32,0,11,1,5,0,15,0,10,297
2021-04-10,3,3,5,2,30,5,11,6,0,2,0,4,3,0,7,0,3,1,6,1,3,8,74,0,2,4,4,6,0,10,0,3,0,1,0,4,11,1,0,7,6,5,3,5,10,15,0,5,279
2021-04-11,0,0,1,0,23,10,6,3,1,0,0,2,5,0,7,0,0,0,4,0,1,7,18,0,0,3,6,8,0,11,0,0,1,1,0,1,9,0,1,16,2,3,2,9,1,6,0,3,171
2021-04-12,14,3,2,0,22,7,10,9,2,3,0,2,1,2,6,0,1,2,1,0,1,5,66,0,0,0,5,1,0,6,3,1,0,2,0,0,3,0,1,9,1,0,1,5,7,7,2,2,213
2021-04-13,2,2,0,4,18,7,1,0,1,3,0,6,12,0,6,0,1,1,8,0,0,6,10,0,0,0,0,0,0,4,0,0,0,1,0,0,6,0,3,14,0,3,1,4,0,6,0,20,150
2021-04-14,0,0,0,0,3,2,1,0,0,0,0,2,5,0,8,0,1,0,6,0,0,1,12,0,0,0,2,0,1,1,0,1,0,1,0,0,1,0,1,15,1,1,0,1,0,3,0,2,72
2021-04-15,0,1,2,0,6,12,1,6,4,1,1,7,4,0,6,2,0,0,1,0,1,5,59,0,0,0,2,2,0,4,1,1,0,0,0,1,7,2,1,20,1,2,0,3,7,8,0,3,184
2021-04-16,1,3,1,1,26,14,2,6,2,3,0,1,9,0,7,0,0,0,3,2,4,10,27,1,0,5,0,2,0,8,0,2,0,6,0,2,9,0,0,25,3,8,0,7,2,10,1,0,213
2021-04-17,1,4,0,0,14,8,7,4,0,2,0,1,7,0,8,0,0,0,1,0,1,12,51,0,1,3,2,3,0,5,0,1,0,2,0,1,6,0,1,25,1,7,0,3,5,11,0,6,204
2021-04-18,1,2,1,0,6,18,4,2,3,3,0,4,10,0,7,0,1,0,10,3,5,4,35,0,2,1,1,3,0,7,0,3,1,2,0,3,1,0,0,18,1,2,1,4,2,7,1,6,185
2021-04-19,0,3,0,1,10,6,1,0,1,1,0,0,11,0,6,0,0,0,5,2,1,5,59,0,0,0,0,1,1,4,0,0,0,1,0,0,11,0,0,13,2,0,0,5,4,4,0,3,161
2021-04-20,0,2,1,0,14,10,0,4,0,2,0,1,5,0,2,0,0,0,3,0,0,2,17,1,0,0,1,5,0,11,0,0,0,3,0,0,3,0,2,11,2,11,3,3,7,8,0,1,135
2021-04-21,0,6,0,2,2,5,0,0,0,1,0,1,6,0,4,0,0,0,7,0,0,0,11,0,0,0,0,1,0,0,2,5,0,0,0,1,0,1,1,15,0,0,1,2,0,4,0,5,83
2021-04-22,1,4,1,2,5,4,2,2,1,0,0,1,5,0,9,1,0,0,8,1,1,4,55,1,0,2,1,1,0,8,1,0,3,1,0,0,10,0,0,18,2,3,1,2,3,5,3,7,179
2021-04-23,2,2,1,0,11,18,0,2,2,1,1,2,3,0,6,0,0,0,14,1,0,5,32,1,0,1,4,8,0,8,0,0,0,1,0,2,3,1,1,22,1,2,0,5,1,12,4,7,187
2021-04-24,1,4,2,1,14,6,0,7,0,0,0,0,9,0,7,0,0,0,6,1,2,5,39,1,0,1,1,2,0,9,0,5,0,0,0,2,3,0,0,15,1,1,0,2,1,10,0,2,160
2021-04-25,6,5,2,5,14,9,3,1,1,3,0,3,2,0,3,0,1,0,1,1,3,4,39,0,0,2,3,1,0,10,0,0,0,0,0,0,0,0,2,2,3,0,0,3,5,17,0,3,157
2021-04-26,0,7,0,0,7,7,2,2,1,6,0,1,5,0,8,0,0,0,7,0,1,4,61,0,1,3,2,0,0,3,0,0,0,0,0,1,2,0,1,13,2,0,0,0,5,5,0,4,161
2021-04-27,0,1,1,0,15,8,0,7,1,0,0,1,2,0,6,0,1,0,12,2,2,6,12,0,0,0,2,0,2,7,1,1,0,0,0,0,1,0,1,9,1,4,0,0,2,8,0,2,118
2021-04-28,0,0,0,0,2,1,1,0,0,2,0,1,1,0,4,0,0,0,1,0,0,1,20,0,0,1,2,1,0,1,0,1,0,0,0,0,0,0,1,3,0,0,0,1,4,2,0,2,53
2021-04-29,1,5,3,0,8,5,1,2,1,1,1,6,6,0,8,0,0,0,2,0,3,3,34,1,0,7,5,2,0,4,0,0,0,0,0,0,4,0,3,14,6,1,0,3,4,4,0,5,153
2021-04-30,2,9,0,0,32,8,1,2,5,1,0,1,8,0,8,0,1,1,2,1,1,4,36,0,0,5,1,2,1,6,0,1,0,0,0,2,1,0,2,11,8,1,1,9,5,8,1,5,193
2021-05-01,0,7,0,0,16,5,4,4,2,1,1,1,4,1,7,0,3,0,12,2,1,7,53,0,0,3,5,2,2,3,0,1,0,0,0,0,2,1,3,19,6,2,0,4,5,9,0,7,205
2021-05-02,0,5,0,1,14,5,1,3,3,1,1,3,7,0,4,0,0,1,5,2,1,1,31,0,0,1,2,2,0,4,1,0,1,0,0,1,2,0,0,14,5,4,0,2,0,2,0,4,134
2021-05-03,1,3,0,1,11,2,5,0,2,2,1,0,3,0,3,0,0,1,0,0,3,5,31,0,0,0,0,5,0,5,0,0,0,0,0,1,4,0,0,4,3,0,0,2,0,5,1,4,108
2021-05-04,0,0,1,0,4,4,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,2,14,0,1,0,2,0,0,1,2,0,0,0,0,1,1,0,1,5,2,1,1,0,0,0,0,3,51
2021-05-05,0,0,0,0,1,0,1,2,1,0,0,0,3,0,2,0,0,0,0,0,0,1,11,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,6,0,1,0,2,0,1,0,4,39
2021-05-06,0,5,2,0,9,16,0,3,3,4,1,2,7,0,5,0,0,0,8,2,5,1,38,0,0,3,6,4,0,17,1,0,0,0,0,2,2,0,0,14,4,4,0,2,0,5,3,5,183
2021-05-07,3,5,1,0,19,5,3,2,0,1,0,4,2,0,5,0,0,0,7,1,0,2,53,0,0,1,5,6,0,15,0,0,0,0,0,2,2,1,1,8,2,2,0,2,3,9,0,2,174
